From_Date, region_id, region_name, Company_Id, Company_Name, profitcenter_id, Profitcenter_Name, usr_Id, Level, STATUS, Total Sales, Credit App#, Sales$-Fin, Avg Ticket Sale, BEDDING SALES, Protection SALES, DELIVERY SALES, Drop Ship Ticket, UPS, Postive Sales, Actual_PrevYear, LastYearSales, Traffic Count, Traffic Count PrevYear, Sales YOY, Gross Margin, Effective Margin, $ Discount, Apps to Traffic, SPG, Sales Count, Avg Item Count, Finance Avg Ticket, Non Fin Avg Ticket, UPS Closing Rate, Traffic YOY
06/16/2025,1,West,1,Mobile,5,Crestview,NULL,1,W,13747.58,0.00,7268.81,5868.53,0.00,NULL,NULL,NULL,NULL,13747.58,4.00,NULL,16.00,20.00,NULL,56.87,54.96,1369.71,0.00,859.22,7.00,4.43,1817.20,1417.20,0.00,-20.00
06/16/2025,1,West,1,Mobile,6,"Ft Walton Beach ",NULL,1,W,6928.54,0.00,1749.97,3178.71,3875.65,NULL,NULL,NULL,NULL,8293.78,0.00,NULL,18.00,11.00,NULL,55.06,54.31,675.07,0.00,384.92,6.00,1.00,583.32,1318.76,0.00,63.64
06/16/2025,1,West,1,Mobile,51,Pensacola Outlet,NULL,1,W,9258.80,0.00,0.00,4973.90,0.00,NULL,NULL,NULL,NULL,9258.80,2.00,NULL,25.00,36.00,NULL,56.22,56.22,1360.81,0.00,370.35,4.00,4.00,0.00,2314.70,0.00,-30.56
06/16/2025,1,West,2,Tallahassee,1,Tallahassee,NULL,1,W,36563.37,0.00,26665.40,11683.68,2512.04,NULL,NULL,NULL,NULL,38022.00,0.00,NULL,48.00,27.00,NULL,61.58,57.69,4422.63,0.00,761.74,14.50,4.48,2666.54,2214.35,0.00,77.78
06/16/2025,1,West,2,Tallahassee,2,Thomasville,NULL,1,W,4189.94,0.00,4189.94,4009.95,0.00,NULL,NULL,NULL,NULL,4189.94,0.00,NULL,7.00,5.00,NULL,59.25,56.50,-1499.99,0.00,598.56,2.00,1.50,2094.97,0.00,0.00,40.00
06/16/2025,1,West,2,Tallahassee,5,Albany,NULL,1,W,14847.13,0.00,17821.04,4477.15,3132.39,NULL,NULL,NULL,NULL,20359.99,2.00,NULL,20.00,12.00,NULL,60.75,57.45,1314.60,0.00,742.36,6.00,3.00,2529.25,1269.48,0.00,66.67
06/16/2025,1,West,2,Tallahassee,6,Macon,NULL,1,W,14752.61,0.00,4789.88,9177.45,-510.00,NULL,NULL,NULL,NULL,15262.61,3.00,NULL,27.00,19.00,NULL,61.38,60.28,1359.70,0.00,546.39,5.00,6.20,1247.96,3007.60,0.00,42.11
06/16/2025,1,West,2,Tallahassee,7,Warner Robins,NULL,1,W,12658.59,0.00,5009.87,8305.91,359.99,NULL,NULL,NULL,NULL,14238.56,1.00,NULL,21.00,18.00,NULL,61.41,60.38,930.97,0.00,602.79,9.00,3.11,997.75,929.82,0.00,16.67
06/16/2025,1,West,2,Tallahassee,8,Dothan,NULL,1,W,2493.86,0.00,1453.92,1531.92,369.00,NULL,NULL,NULL,NULL,2443.87,2.00,NULL,18.00,12.00,NULL,62.89,61.85,465.00,0.00,138.55,3.00,2.33,726.96,1039.94,0.00,50.00
06/16/2025,1,West,2,Tallahassee,9,Enterprise,NULL,1,W,3120.00,0.00,0.00,2940.00,1124.08,NULL,NULL,NULL,NULL,3269.99,2.00,NULL,5.00,14.00,NULL,59.75,60.49,268.90,0.00,624.00,1.00,11.00,0.00,3269.99,0.00,-64.29
